ID	E_pub	dE_pub	E_calc	dE_calc	DistPlateBoundary
1322	15.8	2	14.467951	1.542116	3466020
1323	12.6	1.6	9.988177	1.082071	3460920
1324	18	2.4	15.700624	1.794515	3460920
1325	12.9	1.7	11.87693	1.292003	3460920
1326	23.6	3	21.735317	2.338858	3460920
1327	5.2	0.7	4.407731	0.499437	3467710
1328	5.5	0.7	4.612978	0.527851	3457430
1329	14.1	1.8	12.489893	1.301272	3447230
1330	7	0.9	6.157497	0.684166	3419850
1331	15	1.9	13.48313	1.453414	3457430
1332	10	1.3	7.701516	0.851108	3457430
1333	17.6	2.2	16.375544	1.752472	3481440
1334	13.5	1.7	11.775241	1.310733	3409780
1335	9.3	1.3	8.001055	0.946971	3409780
1336	11.7	1.5	10.189004	1.103396	3428480
1337	6.2	0.8	5.185529	0.557256	3404780
1338	6.7	0.9	5.640512	0.608519	3404780
1339	4.7	0.6	3.827287	0.419059	3396120
1340	7.5	1	6.385482	0.722194	3409780
1341	8.4	1.1	7.11682	0.770391	3409780
1342	5	0.7	4.175318	0.467602	3419850
1343	5.3	0.7	4.286026	0.467388	3419850
1344	16.8	2.1	14.684762	1.633985	3409780
1345	10.8	1.4	9.092035	1.027457	3409780
1346	9	1.2	7.749778	0.834352	3414810
1347	9.7	1.3	8.36736	0.923879	3414810
1348	10.2	1.4	8.736261	1.049836	3414810
1349	9.1	1.2	7.56366	0.827306	3414810
1350	8.9	1.2	7.606275	0.808009	3409780
1351	16.2	2.1	14.56883	1.552488	3409780
1352	15.1	1.9	13.843295	1.484538	3433540
1353	12.9	1.7	8.440258	0.953115	3442170
1354	9.7	1.3	8.766078	0.984917	3460920
1355	19.7	2.5	19.229263	2.117927	3466020
1356	11.9	1.5	11.636027	1.277737	3474620
1357	13.8	1.8	13.084633	1.425865	3490000
1358	3.8	0.5	3.007433	0.335583	3481440
1359	7.9	1	6.948619	0.763882	3476280
1360	11.7	1.5	10.447699	1.135569	3476280
1361	12.3	1.6	11.523726	1.240617	3476280
1362	16.7	2.1	14.470274	1.58816	3419850
1363	7.3	0.9	6.166479	0.663663	3438620
0	1109.76	142.54	1109.76	142.54	58309.5
0	616.5	51.32	616.5	51.32	28284.3
0	643.51	92.39	643.51	92.39	28284.3
0	422.36	37.39	422.36	37.39	50000
0	645.87	70.21	645.87	70.21	60000
0	318.72	28.45	318.72	28.45	70000
0	256.68	21.83	256.68	21.83	53851.6
0	141.81	11.73	141.81	11.73	76157.7
0	138.74	10.5	138.74	10.5	89442.7
0	107.15	8.38	107.15	8.38	85440
0	96.83	7.21	96.83	7.21	94868.3
0	155.27	11.42	155.27	11.42	94868.3
0	157.58	11.96	157.58	11.96	94868.3
0	167.68	13.43	167.68	13.43	94868.3
0	176.8	12.29	176.8	12.29	98488.6
0	173.15	12.02	173.15	12.02	98488.6
0	141.18	11.79	141.18	11.79	82462.1
0	238.78	19.09	238.78	19.09	82462.1
0	337.88	25.72	337.88	25.72	82462.1
0	11.38	0.96	11.38	0.96	2674720
0	12.44	0.95	12.44	0.95	2717080
0	6.17	0.52	6.17	0.52	3368280
0	9.5	0.75	9.5	0.75	2844500
0	17.16	1.32	17.16	1.32	2862250
0	6.79	0.57	6.79	0.57	3327780
0	3.9	0.35	3.9	0.35	3354770
0	6.78	0.56	6.78	0.56	3198830
0	5.98	0.5	5.98	0.5	3116100
0	6.09	0.51	6.09	0.51	3063410
0	14.42	1.11	14.42	1.11	2966230
0	9.34	0.73	9.34	0.73	2856170
0	10.98	0.87	10.98	0.87	2811570
0	6.36	0.54	6.36	0.54	3324830
0	3.11	0.28	3.11	0.28	3336230
0	11.01	0.85	11.01	0.85	2980220
0	15.62	1.19	15.62	1.19	2930610
0	7.31	0.59	7.31	0.59	2874460
0	9.19	0.75	9.19	0.75	3254800
0	12.09	0.95	12.09	0.95	3257070
0	10.45	0.85	10.45	0.85	3148920
0	24.89	1.86	24.89	1.86	3081510
0	18.15	1.38	18.15	1.38	2978660
0	16.01	1.23	16.01	0	2893600
0	372	0	372	0	14142.1
0	463	0	463	0	20000
0	244	0	244	0	0
0	159	0	159	0	10000
0	404	0	404	0	20000
0	230	0	230	0	10000
0	73	0	73	0	0
0	156	0	156	0	0
0	270	0	270	0	10000
0	332	0	332	0	20000
0	140	0	140	0	10000
0	148	0	148	0	10000
0	355	0	355	0	10000
0	282	0	282	0	20000
0	599	0	599	0	20000
0	154	0	154	0	10000
0	430	0	430	0	22360.7
0	160	0	160	0	20000
0	180	0	180	0	20000
0	220	0	220	0	10000
0	200	0	200	0	10000
0	220	0	220	0	20000
0	220	0	220	0	20000
0	170	0	170	0	20000
